CARSIZE,CURRENCYTYPE,DEST_AIRPORTCODE,DEST_DISPLAYNAMELOCAL,DEST_LATITUDE,DEST_LONGITUDE,E3ID,EMAINID,FLIGHTCARRIER,HOTELID,HOTELNAME,HOTELNIGHTS,ID,ISMOBILE,LATITUDE,LOB,LONGITUDE,ORIG_AIRPORTCODE,ORIG_DISPLAYNAMELOCAL,ORIG_LATITUDE,ORIG_LONGITUDE,POSSHORT,TEALEAFTIMESTAMPPST
,USD,LAS,Las Vegas NV (LAS-McCarran Intl.),36.08539300,-115.15009800,97526753,,VX,203613,Mandalay Bay Resort And Casino,2,97526753,0,36.091961,pkgflthot,-115.173037,SFO,San Francisco CA (SFO-San Francisco Intl.),37.61594000,-122.38799600,.com,2014-04-17 15:33:24.0
,USD,PUJ,Punta Cana (PUJ-Punta Cana Intl.),18.56170500,-68.36349500,97526699,,DL,662588,Dreams La Romana - Luxury All Inclusive,4,97526699,0,18.378919,pkgflthot,-68.845271,JFK,New York NY (JFK-John F. Kennedy Intl.),40.64416600,-73.78254800,.com,2014-04-17 15:32:56.0
,MXN,LAS,Las Vegas NV (LAS-McCarran Intl.),36.08539300,-115.15009800,97526739,,AA,24715,Circus Circus Hotel & Casino,4,97526739,0,36.136361,pkgflthot,-115.162247,ELP,El Paso TX (ELP-El Paso Intl.),31.79893000,-106.39565000,.mx,2014-04-17 15:33:16.0
,USD,YYC,Calgary AB (YYC-Calgary Intl.),51.13079000,-114.00890000,97526705,,DL,518726,Executive Royal Inn Hotel & Conference Centre in Calgary,3,97526705,0,51.077520,pkgflthot,-114.004960,CWA,Wausau WI (CWA-Central Wisconsin),44.78436000,-89.67209000,.com,2014-04-17 15:33:06.0
,USD,GSO,Greensboro NC (GSO-Piedmont Triad Intl.),36.10562300,-79.93739800,97526712,,UA,2602,Quality Inn & Suites Coliseum,2,97526712,0,36.045560,pkgflthot,-79.836860,BTV,Burlington VT (BTV-Burlington Intl.),44.46901700,-73.15530800,.com,2014-04-17 15:33:04.0
,USD,AUA,Oranjestad (AUA-Queen Beatrix Intl.),12.50416600,-70.00752200,97526621,,UA,424923,Occidental Grand Aruba - All Inclusive,5,97526621,0,12.569737,pkgflthot,-70.044909,EWR,Newark NJ (EWR-Liberty Intl.),40.69085000,-74.17747000,.com,2014-04-17 15:32:32.0
,USD,TRN,Turin (TRN-Turin Intl.),45.19173600,7.64354000,97526683,,AZ,12165,Hotel Diplomatic,4,97526683,0,45.073230,pkgflthot,7.669510,SUF,Lamezia Terme (SUF-Lamezia Terme Intl.),38.90969400,16.24529500,.com,2014-04-17 15:32:39.0
,USD,BOS,Boston MA (BOS-Logan Intl.),42.36557900,-71.01822400,97526599,,AC,19493,Red Roof Inn Boston - Framingham,8,97526599,0,42.308019,pkgflthot,-71.385496,YYZ,Toronto ON (YYZ-Pearson Intl.),43.68146000,-79.61142000,.com,2014-04-17 15:32:21.0
,DKK,TLL,Tallinn (TLL-Lennart Meri),59.41654600,24.79918400,97526610,,SK,1346333,Savoy Boutique Hotel,4,97526610,0,59.435061,pkgflthot,24.746619,CPH,Copenhagen (CPH-Kastrup),55.62872000,12.64776000,.dk,2014-04-17 15:32:12.0
,USD,IND,Indianapolis IN (IND-Indianapolis Intl.),39.73016000,-86.27311000,97526580,,AA,855753,Relax Inn,3,97526580,0,39.483400,pkgflthot,-86.018110,ELP,El Paso TX (ELP-El Paso Intl.),31.79893000,-106.39565000,.com,2014-04-17 15:32:09.0
,EUR,,,,,97509762,,,1379469,Rabbit Resort Pattaya,3,97509762,0,12.90276,hot,100.86359,,,,,.fr,49:21.0
,USD,,,,,97509742,,,11056,Hotel Paradox,1,97509742,0,36.977175,hot,-122.020412,,,,,.com,49:20.0
,USD,,,,,97509743,,,4675,Best Western Rosslyn/Iwo Jima,4,97509743,0,38.89186,hot,-77.0736,,,,,.com,49:20.0
,USD,,,,,97509779,,,20976,Sheraton Arlington,3,97509779,0,32.757408,hot,-97.080216,,,,,.com,49:21.0
,USD,,,,,97509752,,,487027,Torre De Cali Plaza Hotel,1,97509752,0,3.458686,hot,-76.528773,,,,,.com,49:24.0
,USD,,,,,97509763,,,7643,Crowne Plaza Heidelberg City Centre,4,97509763,0,49.406952,hot,8.691489,,,,,.com,49:24.0
,USD,,,,,97509765,,,41308,Excalibur Hotel Casino,1,97509765,0,36.099212,hot,-115.1731,,,,,.com,49:28.0
,GBP,,,,,97509749,,,2540135,Hotel Divinus,6,97509749,0,47.54912,hot,21.62884,,,,,.uk,49:29.0
,EUR,,,,,97509776,,,22602,Mercure Paris Velizy,2,97509776,0,48.77884,hot,2.21567,,,,,.de,49:29.0
,USD,,,,,97509753,,,200677,Grand Pacific Palisades Resort & Hotel,2,97509753,0,33.125288,hot,-117.314727,,,,,.com,49:31.0
,USD,,,,,97509769,,,67068,Grand Casino Biloxi,1,97509769,0,30.392288,hot,-88.864138,,,,,.com,49:32.0
,USD,,,,,97509764,,,3097085,Hotel Royalty,4,97509764,0,19.04171,hot,-98.19908,,,,,.com,49:33.0
